year,semi_final,semi_draw_position,country,style,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2016,1,1,Finland,Pop,15.0,16.0,35.0,51.0
2016,1,2,Greece,Pop,16.0,22.0,22.0,44.0
2016,1,3,Moldova,Pop,17.0,9.0,24.0,33.0
2016,1,4,Hungary,Pop,4.0,119.0,78.0,197.0
2016,1,5,Croatia,Pop,10.0,53.0,80.0,133.0
2016,1,6,Netherlands,Pop,5.0,95.0,102.0,197.0
2016,1,7,Armenia,Pop,2.0,116.0,127.0,243.0
2016,1,8,San Marino,Pop,12.0,49.0,19.0,68.0
2016,1,9,Russia,Pop,1.0,194.0,148.0,342.0
2016,1,10,Czech Republic,Pop,9.0,41.0,120.0,161.0
2016,1,11,Cyprus,Rock,8.0,93.0,71.0,164.0
2016,1,12,Austria,Pop,7.0,133.0,37.0,170.0
2016,1,13,Estonia,Pop,18.0,15.0,9.0,24.0
2016,1,14,Azerbaijan,Pop,6.0,93.0,92.0,185.0
2016,1,15,Montenegro,Pop,13.0,14.0,46.0,60.0
2016,1,16,Iceland,Pop,14.0,24.0,27.0,51.0
2016,1,17,Bosnia and Herzegovina,Pop,11.0,78.0,26.0,104.0
2016,1,18,Malta,Pop,3.0,54.0,155.0,209.0
2016,2,1,Latvia,Pop,8.0,68.0,64.0,132.0
2016,2,2,Poland,Pop,6.0,131.0,20.0,151.0
2016,2,3,Switzerland,Pop,18.0,3.0,25.0,28.0
2016,2,4,Israel,Ballad,7.0,20.0,127.0,147.0
2016,2,5,Belarus,Pop,12.0,52.0,32.0,84.0
2016,2,6,Serbia,Pop,10.0,50.0,55.0,105.0
2016,2,7,Ireland,Pop,15.0,31.0,15.0,46.0
2016,2,8,North Macedonia,Ballad,11.0,54.0,34.0,88.0
2016,2,9,Lithuania,Ballad,4.0,118.0,104.0,222.0
2016,2,10,Australia,Pop,1.0,142.0,188.0,330.0
2016,2,11,Slovenia,Pop,14.0,8.0,49.0,57.0
2016,2,12,Bulgaria,Dance,5.0,122.0,98.0,220.0
2016,2,13,Denmark,Pop,17.0,24.0,10.0,34.0
2016,2,14,Ukraine,Pop,2.0,152.0,135.0,287.0
2016,2,15,Norway,Dance,13.0,34.0,29.0,63.0
2016,2,16,Georgia,Rock,9.0,39.0,84.0,123.0
2016,2,17,Albania,Pop,16.0,35.0,10.0,45.0
2016,2,18,Belgium,Pop,3.0,135.0,139.0,274.0
2015,1,1,Moldova,Pop,11.0,,,41.0
2015,1,2,Armenia,Pop,7.0,,,77.0
2015,1,3,Belgium,Pop,2.0,,,149.0
2015,1,4,Netherlands,Pop,14.0,,,33.0
2015,1,5,Finland,Rock,16.0,,,13.0
2015,1,6,Greece,Ballad,6.0,,,81.0
2015,1,7,Estonia,Pop,3.0,,,105.0
2015,1,8,North Macedonia,Pop,15.0,,,28.0
2015,1,9,Serbia,Pop,9.0,,,63.0
2015,1,10,Hungary,Pop,8.0,,,67.0
2015,1,11,Belarus,Pop,12.0,,,39.0
2015,1,12,Russia,Pop,1.0,,,182.0
2015,1,13,Denmark,Pop,13.0,,,33.0
2015,1,14,Albania,Pop,10.0,,,62.0
2015,1,15,Romania,Pop,5.0,,,89.0
2015,1,16,Georgia,Pop,4.0,,,98.0
2015,2,1,Lithuania,Pop,7.0,,,67.0
2015,2,2,Ireland,Ballad,12.0,,,35.0
2015,2,3,San Marino,Pop,16.0,,,11.0
2015,2,4,Montenegro,Traditional,9.0,,,57.0
2015,2,5,Malta,Ballad,11.0,,,43.0
2015,2,6,Norway,Ballad,4.0,,,123.0
2015,2,7,Portugal,Ballad,14.0,,,19.0
2015,2,8,Czech Republic,Ballad,13.0,,,33.0
2015,2,9,Israel,Pop,3.0,,,151.0
2015,2,10,Latvia,Pop,2.0,,,155.0
2015,2,11,Azerbaijan,Ballad,10.0,,,53.0
2015,2,12,Iceland,Pop,15.0,,,14.0
2015,2,13,Sweden,Pop,1.0,,,217.0
2015,2,14,Switzerland,Pop,17.0,,,4.0
2015,2,15,Cyprus,Ballad,6.0,,,87.0
2015,2,16,Slovenia,Pop,5.0,,,92.0
2015,2,17,Poland,Ballad,8.0,,,57.0
2014,1,1,Armenia,Ballad,4.0,,,121.0
2014,1,2,Latvia,Pop,13.0,,,33.0
2014,1,3,Estonia,Dance,12.0,,,36.0
2014,1,4,Sweden,Ballad,2.0,,,131.0
2014,1,5,Iceland,Rock,8.0,,,61.0
2014,1,6,Albania,Ballad,15.0,,,22.0
2014,1,7,Russia,Pop,6.0,,,63.0
2014,1,8,Azerbaijan,Ballad,9.0,,,57.0
2014,1,9,Ukraine,Pop,5.0,,,118.0
2014,1,10,Belgium,Ballad,14.0,,,28.0
2014,1,11,Moldova,Ballad,16.0,,,13.0
2014,1,12,San Marino,Ballad,10.0,,,40.0
2014,1,13,Portugal,Pop,11.0,,,39.0
2014,1,14,Netherlands,Traditional,1.0,,,150.0
2014,1,15,Montenegro,Ballad,7.0,,,63.0
2014,1,16,Hungary,Pop,3.0,,,127.0
2014,2,1,Malta,Traditional,9.0,,,63.0
2014,2,2,Israel,Pop,14.0,,,19.0
2014,2,3,Norway,Ballad,6.0,,,77.0
2014,2,4,Georgia,Traditional,15.0,,,15.0
2014,2,5,Poland,Traditional,8.0,,,70.0
2014,2,6,Austria,Ballad,1.0,,,169.0
2014,2,7,Lithuania,Pop,11.0,,,36.0
2014,2,8,Finland,Rock,3.0,,,97.0
2014,2,9,Ireland,Pop,12.0,,,35.0
2014,2,10,Belarus,Pop,5.0,,,87.0
2014,2,11,North Macedonia,Pop,13.0,,,33.0
2014,2,12,Switzerland,Pop,4.0,,,92.0
2014,2,13,Greece,Dance,7.0,,,74.0
2014,2,14,Slovenia,Pop,10.0,,,52.0
2014,2,15,Romania,Dance,2.0,,,125.0
2013,1,1,Austria,Pop,14.0,,,27.0
2013,1,2,Estonia,Ballad,10.0,,,52.0
2013,1,3,Slovenia,Dance,16.0,,,8.0
2013,1,4,Croatia,Traditional,13.0,,,38.0
2013,1,5,Denmark,Pop,1.0,,,167.0
2013,1,6,Russia,Ballad,2.0,,,156.0
2013,1,7,Ukraine,Pop,3.0,,,140.0
2013,1,8,Netherlands,Ballad,6.0,,,75.0
2013,1,9,Montenegro,Dance,12.0,,,41.0
2013,1,10,Lithuania,Dance,9.0,,,53.0
2013,1,11,Belarus,Dance,7.0,,,64.0
2013,1,12,Moldova,Ballad,4.0,,,95.0
2013,1,13,Ireland,Pop,8.0,,,54.0
2013,1,14,Cyprus,Ballad,15.0,,,11.0
